Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Desarrollo Humano y Valores
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Dibujo Asistido por Computadora
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Energía y Desarrollo Sostenible
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Fundamentos Matemáticos
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Física
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Inglés I
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Circuitos Eléctricos
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Cálculo Diferencial
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Diagnósticos Energéticos
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Inglés II
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Probabilidad y Estadística
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Seguridad y Medio Ambiente
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Cálculo Integral
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Electrónica Industrial
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Inglés III
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Instalaciones Eléctricas Industriales
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Proyecto Integrador I
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Temas Selectos de Química
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Análisis de Recurso Energético
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Cálculo de Varias Variables
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Gestión del Mantenimiento
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Inglés IV
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Metrología
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Temas Selectos de Termodinámica y Transferencia de Energía
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Ética Profesional
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Ecuaciones Diferenciales
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Energía Solar
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Inglés V
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Instalaciones Electromecánicas
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Máquinas Eléctricas
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Proyecto Integrador II
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,6,VI (Estadía TSU),ESTADÍA TSU
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Electroquímica
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Habilidades Gerenciales
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Ingeniería de Equipos y Sistemas Industriales
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Inglés VI
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Introducción a las Redes Eléctricas Inteligentes
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Sistemas de Adquisición de Datos
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Temas Selectos de Física
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Almacenamiento de Energía
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Arquitectura Bioclimática
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Hidrógeno y Celdas de Combustible
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Ingeniería de la Biomasa
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Inglés VII
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Normatividad y Sustentabilidad Energética
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Sistemas de Generación Distribuidor
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Diseño de Proyectos Eólicos
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Diseño de Proyectos Fotovoltaica
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Eficiencia Energética
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Ingeniería Económica
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Inglés VIII
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Modelado y Simulación de Sistemas en Energías Renovables
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Proyecto Integrador III
UP Altamira - Universidad Politécnica,Ing. En Energía Y Des. Sostenible,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA EN ENERGÍA Y DESARROLLO SOSTENIBLE
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Desarrollo Humano y Valores
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Fundamentos Matemáticos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Física
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Inglés I
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Metrología Aplicada a la Electrónica
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,1,Cuatrimestre 1,Programación Estructurada
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Circuitos de Corriente Directa y Alterna
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Cálculo Diferencial
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Estructura y Propiedades de los Materiales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Inglés II
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Probabilidad y Estadística
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,2,Cuatrimestre 2,Programación Orientada a Objetos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Análisis de Dispositivos Electrónicos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Circuitos Logísticos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Cálculo Integral
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Fundamentos de Electromagnetismo
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Inglés III
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,3,Cuatrimestre 3,Proyecto Integrador I
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Análisis de Recurso Energético
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Cálculo de Varias Variables
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Gestión del Mantenimiento
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Inglés IV
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Metrología
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Temas Selectos de Termodinámica y Transferencia de Energía
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,4,Cuatrimestre 4,Ética Profesional
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Ecuaciones Diferenciales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Inglés V
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Modulaciones Analógicas y Digitales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Proyecto Integrador II
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Redes LAN-WAN
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,5,Cuatrimestre 5,Sistemas de Telefonía Fija y Telefonía Celular
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,6,VI (Estadía TSU),ESTADÍA TSU
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Amplificadores Electrónicos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Antenas y Guías de Ondas
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Diseño Asistido por Computadora
